dato_str,municipality_id,nedbor_mm
2017-08-13,0730,0.0
2017-08-11,0740,10.1
2017-08-12,0101,0.5
2017-08-20,0751,0.2
2017-08-20,0846,0.0
2017-08-19,0101,9.0
2017-08-18,0730,2.2
2017-08-18,0615,2.2
2017-08-21,0217,0.6
2017-08-20,0461,0.1
2017-08-26,0851,4.9
2017-08-27,0153,0.0
2017-08-26,0217,0.0
2017-08-25,0740,0.3
2017-08-27,0217,0.0
2017-08-27,0657,0.1
2017-08-25,0540,0.0
2017-09-11,0851,3.8
2017-09-09,0751,1.4
2017-09-08,0846,2.3
2017-09-08,0615,4.1
2017-09-10,0101,1.3
2017-09-10,0461,2.3
2017-09-10,0173,0.8
2017-09-17,0217,0.1
2017-09-17,0153,0.2
2017-09-18,0217,5.6
2017-09-17,0657,0.1
2017-09-16,0540,0.5
2017-09-15,0730,0.4
2017-09-15,0740,0.9
2017-09-24,0851,0.1
2017-09-25,0751,0.2
2017-09-23,0101,0.3
2017-09-22,0217,0.0
2017-09-24,0461,0.3
2017-09-24,0846,0.0
2017-09-23,0615,0.1
2017-10-01,0153,12.1
2017-09-30,0846,6.2
2017-10-01,0657,18.3
2017-09-29,0217,0.0
2017-09-29,0730,0.7
2017-10-01,0173,14.7
2017-10-01,0740,14.3
2017-10-15,0851,0.0
2017-10-16,0751,0.0
2017-10-15,0153,0.2
2017-10-14,0217,0.5
2017-10-15,0615,0.0
2017-10-15,0461,0.1
2017-10-13,0540,0.4
2017-10-22,0846,1.0
2017-10-22,0173,4.9
2017-10-21,0740,0.1
2017-10-23,0730,9.8
2017-10-22,0101,0.8
2017-10-22,0217,0.3
2017-10-20,0657,4.6
2017-10-29,0851,0.0
2017-10-27,0751,1.6
2017-10-30,0153,0.0
2017-10-28,0217,6.4
2017-10-29,0615,0.0
2017-10-29,0173,0.0
2017-10-29,0540,0.0
2017-11-05,0461,0.0
2017-11-05,0846,0.0
2017-11-05,0730,0.0
2017-11-05,0101,0.1
2017-11-03,0657,0.9
2017-11-03,0740,0.7
2017-11-04,0217,0.5
2017-11-20,0851,0.5
2017-11-18,0751,2.5
2017-11-19,0153,0.0
2017-11-17,0217,4.0
2017-11-19,0615,0.7
2017-11-19,0173,0.0
2017-11-19,0540,0.0
2017-11-26,0101,6.7
2017-11-24,0730,0.0
2017-11-25,0217,0.7
2017-11-27,0657,2.8
2017-11-26,0461,12.6
2017-11-26,0217,5.9
2017-12-01,0751,1.0
2017-12-03,0846,0.0
2017-12-03,0101,0.0
2017-12-04,0657,1.6
